code,occupation_table1,occupation_table2,similarity_percentage,match_ranking,method_used,threshold_used,similarity_semantic
004,Clinical technology physical,Healthcare Scientist,65.25,1,semantic,0.3,65.25
003,Clinical sciences physiology,Specialist Healthcare Scientist,65.14,3,semantic,0.3,65.14
005,Technician,Scientific Officer,65.0,3,semantic,0.3,65.0
001,Orthodontic therapist,Consultant Therapist / Scientist,64.88,2,semantic,0.3,64.88
006,Dental technician,Technician,64.82,1,semantic,0.3,64.82
008,Mental health,Community Mental Health Nurse - 2nd Level,64.15,1,semantic,0.3,64.15
007,Mental health,Community Mental Health Nurse - 1st Level,64.1,2,semantic,0.3,64.1
003,Clinical sciences physical,Specialist Healthcare Scientist,64.03,3,semantic,0.3,64.03
006,Health promotion,Health Visitor,62.94,1,semantic,0.3,62.94
004,Clinical physiology,Healthcare Scientist,62.83,1,semantic,0.3,62.83
005,Neonatal nursing,Midwives,62.63,3,semantic,0.3,62.63
004,Clinical technology life,Healthcare Scientist,62.58,1,semantic,0.3,62.58
005,Dental therapist,Specialist Practitioner,62.52,3,semantic,0.3,62.52
003,Clinical technology physical,Specialist Healthcare Scientist,62.48,2,semantic,0.3,62.48
002,Clinical technology physical,Trainee Healthcare Scientist,62.47,3,semantic,0.3,62.47
001,Clinical dental technician,Consultant Healthcare Scientist,61.86,2,semantic,0.3,61.86
001,Physiotherapy,Consultant Therapist / Scientist,61.76,2,semantic,0.3,61.76
006,Clinical dental technician,Technician,61.76,3,semantic,0.3,61.76
005,Orthodontic therapist,Specialist Practitioner,61.56,3,semantic,0.3,61.56
099,Other,Unknown,61.2,1,semantic,0.3,61.2
002,Clinical technology life,Trainee Healthcare Scientist,61.15,2,semantic,0.3,61.15
004,Clinical physiology,Scientist,60.26,2,semantic,0.3,60.26
001,Clinical technology life,Consultant Healthcare Scientist,60.15,3,semantic,0.3,60.15
001,Sexual and reproductive health nursing,Nursery Nurse,59.69,1,semantic,0.3,59.69
003,Mental health,Therapist,59.38,3,semantic,0.3,59.38
005,Dental technician,Specialist Practitioner,59.36,2,semantic,0.3,59.36
001,Dental technician,Assistant Practitioner,59.35,3,semantic,0.3,59.35
003,Clinical physiology,Specialist Healthcare Scientist,58.92,3,semantic,0.3,58.92
005,Neonatal midwifery,Children's Nurse,58.34,3,semantic,0.3,58.34
001,Midwifery (exc neonatal),Nursery Nurse,58.27,2,semantic,0.3,58.27
000b,Staff nursery,Trainee Nursing Associate,57.94,3,semantic,0.3,57.94
006,Multi skilled,Technician,56.87,1,semantic,0.3,56.87
002,Multi skilled,Trainee / Student,55.87,2,semantic,0.3,55.87
005,Paediatrics,Specialist Practitioner,55.34,1,semantic,0.3,55.34
002,Physiotherapy,Trainee Healthcare Scientist,54.96,3,semantic,0.3,54.96
004,Sexual and reproductive health nursing,Nursing Assistant Practitioner,54.41,2,semantic,0.3,54.41
002,Management grades (non AfC),Manager,54.32,1,semantic,0.3,54.32
004,Management grades (non AfC),Manager,54.32,2,semantic,0.3,54.32
004,Clinical photographer / illustration physical,Healthcare Scientist,54.17,1,semantic,0.3,54.17
007,General services,Clerical & administrative,53.81,2,semantic,0.3,53.81
001,General services,Clerical & administrative,53.81,1,semantic,0.3,53.81
006,General services,Clerical & administrative,53.81,3,semantic,0.3,53.81
000a,Sexual and reproductive health nursing,Nursing Associate,53.8,3,semantic,0.3,53.8
003,Arts therapy (art / music / drama),Therapist,53.4,1,semantic,0.3,53.4
006,Social work,Support Worker,53.19,3,semantic,0.3,53.19
010,Social work,Support Worker,53.19,1,semantic,0.3,53.19
005,Social work,Support Worker,53.19,2,semantic,0.3,53.19
004,Health visiting,Healthcare Scientist,52.98,2,semantic,0.3,52.98
003,Clinical photographer / illustration physical,Specialist Healthcare Scientist,52.83,2,semantic,0.3,52.83
004,Radiography - theraputic,Scientist,52.38,1,semantic,0.3,52.38
005,Midwifery (exc neonatal),Children's Nurse,51.63,3,semantic,0.3,51.63
002,Clinical photographer / illustration physical,Trainee Healthcare Scientist,51.51,3,semantic,0.3,51.51
001,Health visiting,Healthcare Science Associate,50.98,3,semantic,0.3,50.98
004,Other,Scientist,50.94,2,semantic,0.3,50.94
004,Pharmacy,Healthcare Scientist,50.38,1,semantic,0.3,50.38
004,Prosthetics,Advanced Paramedic,50.09,1,semantic,0.3,50.09
001,Health promotion,Healthcare Science Associate,49.51,2,semantic,0.3,49.51
004,Pharmacy,Healthcare Assistant,49.31,2,semantic,0.3,49.31
005,Pharmacy,Healthcare Assistant,49.31,3,semantic,0.3,49.31
006,Prosthetics,Paramedic,49.1,2,semantic,0.3,49.1
003,Radiography - theraputic,Specialist Healthcare Scientist,48.74,2,semantic,0.3,48.74
005,Dental hygienist-therapist,Specialist Practitioner,48.68,1,semantic,0.3,48.68
099,Podiatry,Unknown,48.66,1,semantic,0.3,48.66
001,Clinical psychology and counselling,Consultant Healthcare Scientist,48.65,3,semantic,0.3,48.65
008,Residential / day care,Estates (maintenance & works),48.59,2,semantic,0.3,48.59
